City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,jesenik,50.2294,17.2046,13.91,97,28,2.91,CZ,1690950029
198,thompson,55.7435,-97.8558,16.09,94,75,3.6,CA,1690950029
199,kununurra,-15.7667,128.7333,30.99,25,66,3.09,AU,1690949932
200,filingue,14.3521,3.3168,27.78,64,100,3.2,NE,1690950030
201,vanimo,-2.6741,141.3028,28.75,75,60,3.42,PG,1690950030
202,woolgoolga,-30.1106,153.2007,19.93,61,87,3.93,AU,1690950030
203,keflavik,64.0049,-22.5624,9.95,100,40,3.6,IS,1690950030
204,papao,-17.75,-149.55,26.82,70,93,4.87,PF,1690950030
205,murzuq,25.9155,13.9184,26.76,27,0,4.19,LY,1690950030
206,touros,-5.1989,-35.4608,24.38,85,6,5.3,BR,1690950031
207,kingston,17.997,-76.7936,29.53,84,20,1.54,JM,1690949792
208,matane,48.8286,-67.522,12.06,90,57,4.28,CA,1690949995
209,susuman,62.7833,148.1667,15.59,48,87,5.38,RU,1690950031
210,uturoa,-16.7333,-151.4333,26.31,71,35,6.01,PF,1690950031
211,vadso,70.0744,29.7487,13.49,94,100,2.57,NO,1690950031
212,quibdo,5.6947,-76.6611,23.72,98,100,0.63,CO,1690950031
213,nytva,57.9404,55.334,19.94,81,29,1.68,RU,1690950032
214,kulhudhuffushi,6.6221,73.07,28.18,74,100,5.32,MV,1690950032
215,huruta,8.15,39.35,16.17,84,100,0.66,ET,1690950032
216,whitehorse,60.7161,-135.0538,15.43,88,40,1.54,CA,1690950032
217,mendoza,-32.8908,-68.8272,15.74,51,0,1.54,AR,1690949968
218,misratah,32.3754,15.0925,26.6,73,0,2.05,LY,1690949832
219,shubarshi,48.5872,57.1869,25.95,36,3,4.44,KZ,1690950033
220,aripuana,-9.1667,-60.6333,25.19,50,36,0.83,BR,1690950033
221,sinabang,2.4803,96.3801,28.89,66,93,1.3,ID,1690950033
222,nuuk,64.1835,-51.7216,6.34,100,100,7.2,GL,1690950033
